KAIST 전체 개설 과목조회 (2018년 봄학기),,,,,,,,,,,,,,,,,,,,
개설학과약어,개설학과,과목구분약어,과목구분,과목번호,전산코드,분반,과목명,강의계획서,AU,강:실:학,담당교수,영어,정원,수강인원,강의시간,강의실,시험시간,비고,학과코드,학기구분
Capstone Design,Capstone Design,전공선택,전공선택,CD401,B2.401,A ,융합캡스톤디자인 I,Y,0,2.0:6:3.0,강남우, ,35,35,금 10:00~12:00,(W8)교육지원동1층, ," 기계과(4418) 학생의 수강신청을 위한 A반입니다. 기계과가 아니신 분들은 B반으로 신청해 주십시오. 실제 수업은 A,B반이 하나의 수업으로 진행됩니다.",33,
Capstone Design,Capstone Design,전공선택,전공선택,CD401,B2.401,B ,융합캡스톤디자인 I,Y,0,2.0:6:3.0,강남우, ,35,20,금 10:00~12:00,(W8)교육지원동1층, ,"비기계과 학생의 수강신청을 위한 B반입니다. 기계과이신 분들은 A반으로 신청해 주십시오. 실제 수업은 A,B반이 하나의 수업으로 진행됩니다.",33,
물리학과,물리학과,기초필수,기초필수,PH141,20.141,A ,일반물리학 I,Y,0,3.0:1:3.0,이순칠,Y,7,7,"화 09:00~10:30
목 09:00~10:30",(E11)창의학습관309, 금 09:00~11:45,연습반: 화 7시~9시 또는 8시~10시 (격주로 퀴즈시행),110,
물리학과,물리학과,기초필수,기초필수,PH141,20.141,B ,일반물리학 I,Y,0,3.0:1:3.0,이원희,Y,120,2,"화 09:00~10:30
목 09:00~10:30",(E11)창의학습관311, 금 09:00~11:45,연습반: 화 7시~9시 또는 8시~10시 (격주로 퀴즈시행),110,
물리학과,물리학과,기초필수,기초필수,PH141,20.141,C ,일반물리학 I,Y,0,3.0:1:3.0,최형순,Y,120,0,"화 09:00~10:30
목 09:00~10:30",(E11)창의학습관412, 금 09:00~11:45,연습반: 화 7시~9시 또는 8시~10시 (격주로 퀴즈시행),110,
물리학과,물리학과,기초필수,기초필수,PH141,20.141,D ,일반물리학 I,Y,0,3.0:1:3.0,문희태,Y,120,1,"화 13:00~14:30
목 13:00~14:30",(E11)창의학습관311, 금 09:00~11:45,연습반: 화 7시~9시 또는 8시~10시 (격주로 퀴즈시행),110,
물리학과,물리학과,기초필수,기초필수,PH141,20.141,E ,일반물리학 I,Y,0,3.0:1:3.0,이진환,Y,120,1,"화 13:00~14:30
목 13:00~14:30",(E11)창의학습관410, 금 09:00~11:45,연습반: 화 7시~9시 또는 8시~10시 (격주로 퀴즈시행),110,
물리학과,물리학과,기초필수,기초필수,PH141,20.141,F ,일반물리학 I,Y,0,3.0:1:3.0,이혜성,Y,120,3,"화 13:00~14:30
목 13:00~14:30",(E11)창의학습관412, 금 09:00~11:45,연습반: 화 7시~9시 또는 8시~10시 (격주로 퀴즈시행),110,
물리학과,물리학과,기초필수,기초필수,PH142,20.142,A ,일반 물리학 II,Y,0,3.0:1:3.0,조성재,Y,110,110,"화 09:00~10:30
목 09:00~10:30",(E11)창의학습관303, 금 09:00~11:45, ,110,
물리학과,물리학과,기초필수,기초필수,PH142,20.142,B ,일반 물리학 II,Y,0,3.0:1:3.0,박용근,Y,135,135,"화 13:00~14:30
목 13:00~14:30",(E11)창의학습관303, 금 09:00~11:45, ,110,
물리학과,물리학과,기초필수,기초필수,PH151,20.151,A ,일반물리학실험Ⅰ,Y,0,0.0:3:1.0,김갑진, ,16,0,월 09:00~12:00,(E6-5)궁리실험관203, ,"분반별 신입생 14명 학번순 배정, 미배정 신입생은 가을학기에 수강, 재학생은 수강변경기간 중 신청, 수강변경/취소는 첫수업시간 현장에서 반드시 확인 받은 후 신청",110,
물리학과,물리학과,기초필수,기초필수,PH151,20.151,AA,일반물리학실험Ⅰ,Y,0,0.0:3:1.0,최재윤, ,16,0,금 13:00~16:00,(E6-5)궁리실험관203, ," 분반별 신입생 14명 학번순 배정, 미배정 신입생은 가을학기에 수강, 재학생은 수강변경기간 중 신청, 수강변경/취소는 첫수업시간 현장에서 반드시 확인 받은 후 신청",110,
물리학과,물리학과,기초필수,기초필수,PH151,20.151,AB,일반물리학실험Ⅰ,Y,0,0.0:3:1.0,유종희, ,16,0,금 13:00~16:00,(E6-5)궁리실험관203, ," 분반별 신입생 14명 학번순 배정, 미배정 신입생은 가을학기에 수강, 재학생은 수강변경기간 중 신청, 수강변경/취소는 첫수업시간 현장에서 반드시 확인 받은 후 신청",110,
물리학과,물리학과,기초필수,기초필수,PH151,20.151,B ,일반물리학실험Ⅰ,Y,0,0.0:3:1.0,김용관, ,16,0,월 09:00~12:00,(E6-5)궁리실험관203, ,"분반별 신입생 14명 학번순 배정, 미배정 신입생은 가을학기에 수강, 재학생은 수강변경기간 중 신청, 수강변경/취소는 첫수업시간 현장에서 반드시 확인 받은 후 신청",110,
물리학과,물리학과,기초필수,기초필수,PH151,20.151,C ,일반물리학실험Ⅰ,Y,0,0.0:3:1.0,최형순, ,16,0,월 09:00~12:00,(E6-5)궁리실험관203, ," 분반별 신입생 14명 학번순 배정, 미배정 신입생은 가을학기에 수강, 재학생은 수강변경기간 중 신청, 수강변경/취소는 첫수업시간 현장에서 반드시 확인 받은 후 신청",110,
물리학과,물리학과,기초필수,기초필수,PH151,20.151,D ,일반물리학실험Ⅰ,Y,0,0.0:3:1.0,서민교, ,16,0,월 13:00~16:00,(E6-5)궁리실험관203, ,"분반별 신입생 14명 학번순 배정, 미배정 신입생은 가을학기에 수강, 재학생은 수강변경기간 중 신청, 수강변경/취소는 첫수업시간 현장에서 반드시 확인 받은 후 신청",110,
물리학과,물리학과,기초필수,기초필수,PH151,20.151,E ,일반물리학실험Ⅰ,Y,0,0.0:3:1.0,박용근, ,16,0,월 13:00~16:00,(E6-5)궁리실험관203, ,"분반별 신입생 14명 학번순 배정, 미배정 신입생은 가을학기에 수강, 재학생은 수강변경기간 중 신청, 수강변경/취소는 첫수업시간 현장에서 반드시 확인 받은 후 신청",110,
물리학과,물리학과,기초필수,기초필수,PH151,20.151,F ,일반물리학실험Ⅰ,Y,0,0.0:3:1.0,최재윤, ,16,0,월 13:00~16:00,(E6-5)궁리실험관203, ,"분반별 신입생 14명 학번순 배정, 미배정 신입생은 가을학기에 수강, 재학생은 수강변경기간 중 신청, 수강변경/취소는 첫수업시간 현장에서 반드시 확인 받은 후 신청",110,
